Email,SMS,WHATSAPP,FIRSTNAME,LASTNAME,TESTBOOL,GENDER,DOB,TESTTEXT,TESTNUMBER,ORDER_PRICE,TESTTRANSACTIONALTEXT,TESTCALCULATED
testimport+1@brevo.com,919897961001,919897961001,test1,import1,no,2,2021-05-13,test1,1,1,test1,1
testimport+2@brevo.com,919897961002,919897961002,test2,import2,yes,1,13-05-2021,test2,2,2,test2,2
testimport+3@brevo.com,919897961003,919897961003,test3,import3,no,2,2021-05-13,test3,3,3,test3,3
testimport+4@brevo.com,919897961004,919897961004,test4,import4,yes,1,13-05-2021,test4,4,4,test4,4
testimport+5@brevo.com,919897961005,919897961005,test5,import5,no,2,2021-05-13,test5,5,5,test5,5
testimport+6@brevo.com,919897961006,919897961006,test6,import6,yes,1,13-05-2021,test6,6,6,test6,6
testimport+7@brevo.com,919897961007,919897961007,test7,import7,no,2,2021-05-13,test7,7,7,test7,7
testimport+8@brevo.com,919897961008,919897961008,test8,import8,yes,1,13-05-2021,test8,8,8,test8,8
testimport+9@brevo.com,919897961009,919897961009,test9,import9,no,2,2021-05-13,test9,9,9,test9,9
testimport+10@brevo.com,919897961010,919897961010,test10,import10,yes,1,13-05-2021,test10,10,10,test10,10
testimport+11@brevo.com,919897961011,919897961011,test11,import11,no,2,2021-05-13,test11,11,11,test11,11
testimport+12@brevo.com,919897961012,919897961012,test12,import12,yes,1,13-05-2021,test12,12,12,test12,12
testimport+13@brevo.com,919897961013,919897961013,test13,import13,no,2,2021-05-13,test13,13,13,test13,13
testimport+14@brevo.com,919897961014,919897961014,test14,import14,yes,1,13-05-2021,test14,14,14,test14,14
testimport+15@brevo.com,919897961015,919897961015,test15,import15,no,2,2021-05-13,test15,15,15,test15,15
testimport+16@brevo.com,919897961016,919897961016,test16,import16,yes,1,13-05-2021,test16,16,16,test16,16
testimport+17@brevo.com,919897961017,919897961017,test17,import17,no,2,2021-05-13,test17,17,17,test17,17
testimport+18@brevo.com,919897961018,919897961018,test18,import18,yes,1,13-05-2021,test18,18,18,test18,18
testimport+19@brevo.com,919897961019,919897961019,test19,import19,no,2,2021-05-13,test19,19,19,test19,19
testimport+20@brevo.com,919897961020,919897961020,test20,import20,yes,1,13-05-2021,test20,20,20,test20,20
testimport+21@brevo.com,919897961021,919897961021,test21,import21,no,2,2021-05-13,test21,21,21,test21,21
testimport+22@brevo.com,919897961022,919897961022,test22,import22,yes,1,13-05-2021,test22,22,22,test22,22
testimport+23@brevo.com,919897961023,919897961023,test23,import23,no,2,2021-05-13,test23,23,23,test23,23
testimport+24@brevo.com,919897961024,919897961024,test24,import24,yes,1,13-05-2021,test24,24,24,test24,24
testimport+25@brevo.com,919897961025,919897961025,test25,import25,no,2,2021-05-13,test25,25,25,test25,25
testimport+26@brevo.com,919897961026,919897961026,test26,import26,yes,1,13-05-2021,test26,26,26,test26,26
testimport+27@brevo.com,919897961027,919897961027,test27,import27,no,2,2021-05-13,test27,27,27,test27,27
testimport+28@brevo.com,919897961028,919897961028,test28,import28,yes,1,13-05-2021,test28,28,28,test28,28
testimport+29@brevo.com,919897961029,919897961029,test29,import29,no,2,2021-05-13,test29,29,29,test29,29
testimport+30@brevo.com,919897961030,919897961030,test30,import30,yes,1,13-05-2021,test30,30,30,test30,30
testimport+31@brevo.com,919897961031,919897961031,test31,import31,no,2,2021-05-13,test31,31,31,test31,31
testimport+32@brevo.com,919897961032,919897961032,test32,import32,yes,1,13-05-2021,test32,32,32,test32,32
testimport+33@brevo.com,919897961033,919897961033,test33,import33,no,2,2021-05-13,test33,33,33,test33,33
testimport+34@brevo.com,919897961034,919897961034,test34,import34,yes,1,13-05-2021,test34,34,34,test34,34
testimport+35@brevo.com,919897961035,919897961035,test35,import35,no,2,2021-05-13,test35,35,35,test35,35
testimport+36@brevo.com,919897961036,919897961036,test36,import36,yes,1,13-05-2021,test36,36,36,test36,36
testimport+37@brevo.com,919897961037,919897961037,test37,import37,no,2,2021-05-13,test37,37,37,test37,37
testimport+38@brevo.com,919897961038,919897961038,test38,import38,yes,1,13-05-2021,test38,38,38,test38,38
testimport+39@brevo.com,919897961039,919897961039,test39,import39,no,2,2021-05-13,test39,39,39,test39,39
testimport+40@brevo.com,919897961040,919897961040,test40,import40,yes,1,13-05-2021,test40,40,40,test40,40
testimport+41@brevo.com,919897961041,919897961041,test41,import41,no,2,2021-05-13,test41,41,41,test41,41
testimport+42@brevo.com,919897961042,919897961042,test42,import42,yes,1,13-05-2021,test42,42,42,test42,42
testimport+43@brevo.com,919897961043,919897961043,test43,import43,no,2,2021-05-13,test43,43,43,test43,43
testimport+44@brevo.com,919897961044,919897961044,test44,import44,yes,1,13-05-2021,test44,44,44,test44,44
testimport+45@brevo.com,919897961045,919897961045,test45,import45,no,2,2021-05-13,test45,45,45,test45,45
testimport+46@brevo.com,919897961046,919897961046,test46,import46,yes,1,13-05-2021,test46,46,46,test46,46
testimport+47@brevo.com,919897961047,919897961047,test47,import47,no,2,2021-05-13,test47,47,47,test47,47
testimport+48@brevo.com,919897961048,919897961048,test48,import48,yes,1,13-05-2021,test48,48,48,test48,48
testimport+49@brevo.com,919897961049,919897961049,test49,import49,no,2,2021-05-13,test49,49,49,test49,49
testimport+50@brevo.com,919897961050,919897961050,test50,import50,yes,1,13-05-2021,test50,50,50,test50,50
testimport+51@brevo.com,919897961051,919897961051,test51,import51,no,2,2021-05-13,test51,51,51,test51,51
testimport+52@brevo.com,919897961052,919897961052,test52,import52,yes,1,13-05-2021,test52,52,52,test52,52
testimport+53@brevo.com,919897961053,919897961053,test53,import53,no,2,2021-05-13,test53,53,53,test53,53
testimport+54@brevo.com,919897961054,919897961054,test54,import54,yes,1,13-05-2021,test54,54,54,test54,54
testimport+55@brevo.com,919897961055,919897961055,test55,import55,no,2,2021-05-13,test55,55,55,test55,55
testimport+56@brevo.com,919897961056,919897961056,test56,import56,yes,1,13-05-2021,test56,56,56,test56,56
testimport+57@brevo.com,919897961057,919897961057,test57,import57,no,2,2021-05-13,test57,57,57,test57,57
testimport+58@brevo.com,919897961058,919897961058,test58,import58,yes,1,13-05-2021,test58,58,58,test58,58
testimport+59@brevo.com,919897961059,919897961059,test59,import59,no,2,2021-05-13,test59,59,59,test59,59
testimport+60@brevo.com,919897961060,919897961060,test60,import60,yes,1,13-05-2021,test60,60,60,test60,60
testimport+61@brevo.com,919897961061,919897961061,test61,import61,no,2,2021-05-13,test61,61,61,test61,61
testimport+62@brevo.com,919897961062,919897961062,test62,import62,yes,1,13-05-2021,test62,62,62,test62,62
testimport+63@brevo.com,919897961063,919897961063,test63,import63,no,2,2021-05-13,test63,63,63,test63,63
testimport+64@brevo.com,919897961064,919897961064,test64,import64,yes,1,13-05-2021,test64,64,64,test64,64
testimport+65@brevo.com,919897961065,919897961065,test65,import65,no,2,2021-05-13,test65,65,65,test65,65
testimport+66@brevo.com,919897961066,919897961066,test66,import66,yes,1,13-05-2021,test66,66,66,test66,66
testimport+67@brevo.com,919897961067,919897961067,test67,import67,no,2,2021-05-13,test67,67,67,test67,67
testimport+68@brevo.com,919897961068,919897961068,test68,import68,yes,1,13-05-2021,test68,68,68,test68,68
testimport+69@brevo.com,919897961069,919897961069,test69,import69,no,2,2021-05-13,test69,69,69,test69,69
testimport+70@brevo.com,919897961070,919897961070,test70,import70,yes,1,13-05-2021,test70,70,70,test70,70
testimport+71@brevo.com,919897961071,919897961071,test71,import71,no,2,2021-05-13,test71,71,71,test71,71
testimport+72@brevo.com,919897961072,919897961072,test72,import72,yes,1,13-05-2021,test72,72,72,test72,72
testimport+73@brevo.com,919897961073,919897961073,test73,import73,no,2,2021-05-13,test73,73,73,test73,73
testimport+74@brevo.com,919897961074,919897961074,test74,import74,yes,1,13-05-2021,test74,74,74,test74,74
testimport+75@brevo.com,919897961075,919897961075,test75,import75,no,2,2021-05-13,test75,75,75,test75,75
testimport+76@brevo.com,919897961076,919897961076,test76,import76,yes,1,13-05-2021,test76,76,76,test76,76
testimport+77@brevo.com,919897961077,919897961077,test77,import77,no,2,2021-05-13,test77,77,77,test77,77
testimport+78@brevo.com,919897961078,919897961078,test78,import78,yes,1,13-05-2021,test78,78,78,test78,78
